school,team,block,concept,manipulation,level,start_time,end_time,relative_start_time,relative_end_time,level_duration,gold_trophy,silver_trophy,revisit,level_attempt
ASU,ASU-T38,ExpBlock1,PoT,Levels,Scale,09/13/2018 22:40:47.377000,09/13/2018 22:43:38.706900,21.616,192.9459,171.3299,0,1,False,0
ASU,ASU-T38,ExpBlock1,PoT,Levels,Timing is Everything,09/13/2018 22:43:51.818400,09/13/2018 22:47:32.811100,206.0574,427.0501,220.9927,0,1,False,0
ASU,ASU-T38,ExpBlock1,PoT,Levels,Green Apple,09/13/2018 22:47:54.104800,09/13/2018 22:48:48.088500,448.3438,502.3275,53.9837,0,1,False,0
ASU,ASU-T38,ExpBlock1,PoT,Levels,One at a time,09/13/2018 22:49:02.316000,09/13/2018 22:49:31.423600,516.555,545.6626,29.1076,1,0,False,0
ASU,ASU-T38,ExpBlock1,PoT,Levels,Fe2,09/13/2018 22:49:43.763700,09/13/2018 22:53:54.916300,558.0027,809.1553,251.1526,0,0,False,0
ASU,ASU-T38,ExpBlock1,PoT,Levels,Smiley Mouth,09/13/2018 22:53:54.916300,09/13/2018 22:55:14.573500,809.1553,888.8125,79.6572,0,1,False,0
ASU,ASU-T38,ExpBlock1,PoT,Levels,Fe2,09/13/2018 22:55:21.629200,09/13/2018 22:55:25.768000,895.8682,900.007,4.1388,0,0,True,1
ASU,ASU-T38,WU,WU,NaN,Can Opener,09/13/2018 22:16:35.013100,09/13/2018 22:19:31.403300,45.5811,221.9713,176.3902,0,0,False,0
ASU,ASU-T38,WU,WU,NaN,Yippie!,09/13/2018 22:19:31.403300,09/13/2018 22:30:49.443000,221.9713,900.011,678.0397,0,0,False,0
ASU,ASU-T38,ExpBlock2,EcT,Golds,Top spin,09/13/2018 23:30:07.578300,09/13/2018 23:38:14.091900,15.4403,501.9539,486.5136,0,1,False,0
ASU,ASU-T38,ExpBlock2,EcT,Golds,Think Ahead,09/13/2018 23:38:27.189200,09/13/2018 23:44:05.361800,515.0512,853.2238,338.1726,0,0,False,0
ASU,ASU-T38,ExpBlock2,EcT,Golds,Top spin,09/13/2018 23:44:05.361800,09/13/2018 23:44:14.797400,853.2238,862.6594,9.4356,0,0,True,1
ASU,ASU-T38,ExpBlock2,EcT,Golds,Trunk Slide,09/13/2018 23:44:14.797400,09/13/2018 23:44:52.147000,862.6594,900.009,37.3496,0,0,False,0
ASU,ASU-T39,ExpBlock1,EcT,Golds,Top spin,09/18/2018 19:49:17.172600,09/18/2018 20:03:41.987000,35.2026,900.017,864.8144,0,0,False,0
ASU,ASU-T39,WU,WU,NaN,Yippie!,09/18/2018 19:21:05.985200,09/18/2018 19:29:58.897200,40.6742,573.5862,532.912,0,1,False,0
ASU,ASU-T39,WU,WU,NaN,Double Hoppy,09/18/2018 19:30:36.052600,09/18/2018 19:35:25.302000,610.7416,899.991,289.2494,0,0,False,0
ASU,ASU-T39,ExpBlock2,PoT,Levels,Green Apple,09/18/2018 20:19:47.245500,09/18/2018 20:20:10.628500,40.8405,64.2235,23.383,1,0,False,0
ASU,ASU-T39,ExpBlock2,PoT,Levels,One at a time,09/18/2018 20:20:19.146200,09/18/2018 20:20:33.168300,72.7412,86.7633,14.0221,1,0,False,0
ASU,ASU-T39,ExpBlock2,PoT,Levels,Scale,09/18/2018 20:20:49.250800,09/18/2018 20:21:32.846500,102.8458,146.4415,43.5957,0,1,False,0
ASU,ASU-T39,ExpBlock2,PoT,Levels,Fe2,09/18/2018 20:21:39.991100,09/18/2018 20:34:06.407000,153.5861,900.002,746.4159,0,0,False,0
ASU,ASU-T36,ExpBlock1,EcT,Levels,Think Ahead,09/11/2018 22:36:28.632000,09/11/2018 22:46:47.106500,17.49,635.9645,618.4745,0,0,False,0
ASU,ASU-T36,ExpBlock1,EcT,Levels,Cloudy Day,09/11/2018 22:46:47.106500,09/11/2018 22:51:11.159000,635.9645,900.017,264.0525,0,0,False,0
ASU,ASU-T36,WU,WU,NaN,Can Opener,09/11/2018 22:13:09.111200,09/11/2018 22:22:08.103700,52.8642,591.8567,538.9925,0,1,False,0
ASU,ASU-T36,WU,WU,NaN,Yippie!,09/11/2018 22:22:21.094600,09/11/2018 22:27:02.506200,604.8476,886.2592,281.4116,0,1,False,0
ASU,ASU-T36,WU,WU,NaN,Double Hoppy,09/11/2018 22:27:13.842400,09/11/2018 22:27:16.256000,897.5954,900.009,2.4136,0,0,False,0
