School,Team,Block,Zoom_Video_Position,ACTUAL_ID_at_Top_or_Left,ACTUAL_ID_at_Middle,ACTUAL_ID_at_Bottom_or_Right,VIDEO_ID_at_Top_or_Left,VIDEO_ID_at_Middle,VIDEO_ID_at_Bottom_or_Right,TEXT_ID_at_Top_or_Left,TEXT_ID_at_Middle,TEXT_ID_at_Bottom_or_Right
ASU,T10,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
ASU,T10,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T10,WU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASU,T100,ExpBlock1,vertical,PD,PA,PC,PD,PA,PC,PD,PA,PC
ASU,T100,ExpBlock2,vertical,PC,PA,PD,PC,PA,PD,PC,PA,PD
ASU,T100,WU,vertical,PA,PD,PC,PA,PD,PC,PA,PD,PC
ASU,T102,ExpBlock1,vertical,PB,PD,PC,PB,PD,PC,PD,PB,PC
ASU,T102,ExpBlock2,vertical,PC,PD,PB,PC,PD,PB,PC,PD,PB
ASU,T102,WU,vertical,PD,PB,PC,PD,PB,PC,PD,PB,PC
ASU,T103,ExpBlock1,vertical,PB,PD,PC,P1,PD,PC,PB,PD,PC
ASU,T103,ExpBlock2,vertical,PC,PD,PB,PC,PD,PB,PC,PD,PB
ASU,T103,WU,vertical,PD,PB,PC,PD,PB,PC,PD,PB,PC
ASU,T104,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
ASU,T104,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T104,WU,vertical,PA,PB,PC,PA,PC,PB,PA,PC,PB
ASU,T20,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
ASU,T20,ExpBlock2,vertical,PC,PB,PA,PC,PB,PA,PC,PB,PA
ASU,T20,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
ASU,T24,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
ASU,T24,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T24,WU,vertical,PA,PC,PB,PA,PB,PC,PA,PC,PB
ASU,T25,ExpBlock1,vertical,PD,PA,PC,PD,PA,PC,PD,PA,PC
ASU,T25,ExpBlock2,vertical,PC,PA,PD,PC,PA,PD,PC,PA,PD
ASU,T25,WU,vertical,PA,PC,PD,PA,PC,PD,PA,PC,PD
ASU,T32,ExpBlock1,vertical,PD,PB,PA,PD,PB,PA,PD,PB,PA
ASU,T32,ExpBlock2,vertical,PA,PB,PD,PA,PB,PD,PA,PB,PD
ASU,T32,WU,vertical,PD,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T34,ExpBlock1,vertical,PC,PB,PA,PC,PB,PA,PC,PB,PA
ASU,T34,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T34,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
ASU,T35,ExpBlock1,vertical,PD,PA,PC,PD,PA,PC,PD,PA,PC
ASU,T35,ExpBlock2,vertical,PC,PA,PD,PC,PA,PD,PC,PA,PD
ASU,T35,WU,vertical,PA,PD,PC,PA,PB,PC,PA,PB,PC
ASU,T36,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
ASU,T36,ExpBlock2,vertical,PC,PA,PB,PD,PC,PB,PD,PC,PB
ASU,T36,WU,vertical,PA,PB,PC,PB,PC,PD,PB,PC,PD
ASU,T37,ExpBlock1,vertical,PB,PD,PC,PB,PD,PC,PB,PD,PC
ASU,T37,ExpBlock2,vertical,PC,PD,PB,PC,PD,PB,PC,PD,PB
ASU,T37,WU,vertical,PD,PC,PB,PD,PC,PB,PD,PC,PB
ASU,T38,ExpBlock1,vertical,PB,PA,PC,PB,PD,PC,PB,PD,PC
ASU,T38,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T38,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
ASU,T39,ExpBlock1,vertical,PB,PD,PC,PB,PD,PC,PB,PD,PC
ASU,T39,ExpBlock2,vertical,PC,PD,PB,PC,PD,PB,PC,PD,PB
ASU,T39,WU,vertical,PD,PB,PC,PD,PB,PC,PD,PB,PC
ASU,T40,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
ASU,T40,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T40,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
ASU,T41,ExpBlock1,vertical,PB,PD,PC,PB,PD,PC,PB,PD,PC
ASU,T41,ExpBlock2,vertical,PC,PD,PB,PC,PD,PB,PC,PD,PB
ASU,T41,WU,vertical,PD,PC,PB,PD,PC,PB,PD,PC,PB
ASU,T42,ExpBlock1,vertical,PB,PD,PC,PB,PD,PC,PB,PD,PC
ASU,T42,ExpBlock2,vertical,PC,PD,PB,PC,PD,PB,PC,PD,PB
ASU,T42,WU,vertical,PD,PB,PC,PA,PB,PC,PA,PB,PC
ASU,T43,ExpBlock1,vertical,PB,PA,PC,PA,PB,PC,PA,PB,PC
ASU,T43,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T43,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
ASU,T44,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
ASU,T44,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T44,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
ASU,T45,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
ASU,T45,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T45,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
ASU,T46,ExpBlock1,vertical,PB,PD,PC,PB,PD,PC,PB,PD,PC
ASU,T46,ExpBlock2,vertical,PC,PD,PB,PC,PD,PB,PC,PD,PB
ASU,T46,WU,vertical,PD,PC,PB,PD,PC,PB,PD,PC,PB
ASU,T47,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
ASU,T47,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T47,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
ASU,T50,ExpBlock1,vertical,PB,PD,PC,PB,PD,PC,PB,PD,PC
ASU,T50,ExpBlock2,vertical,PC,PD,PB,PC,PD,PB,PC,PD,PB
ASU,T50,WU,vertical,PD,PB,PC,PA,PB,PC,PA,PB,PC
ASU,T51,ExpBlock1,vertical,PD,PA,PC,PD,PA,PC,PD,PA,PC
ASU,T51,ExpBlock2,vertical,PC,PA,PD,PD,PA,PB,PD,PA,PB
ASU,T51,WU,vertical,PA,PC,PD,PA,PB,PC,PA,PB,PC
ASU,T52,ExpBlock1,vertical,PB,PD,PC,PB,PA,PC,PB,PA,PC
ASU,T52,ExpBlock2,vertical,PC,PD,PB,PC,PA,PB,PC,PA,PB
ASU,T52,WU,vertical,PD,PC,PB,PA,PC,PB,PA,PC,PB
ASU,T54,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
ASU,T54,ExpBlock2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASU,T54,WU,vertical,PA,PC,PB,PA,PC,PB,PA,PC,PB
ASU,T56,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
ASU,T56,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T56,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
ASU,T59,ExpBlock1,vertical,PB,PD,PC,PB,PD,PC,PB,PD,PC
ASU,T59,ExpBlock2,vertical,PC,PD,PB,PC,PD,PB,PC,PD,PB
