"userID","school","team","PhysicsScorePre","PhysicsScorePre_EcT","PhysicsScorePre_PoT","PhysicsScorePost","PhysicsScorePost_EcT","PhysicsScorePost_PoT","MCScorePre","MCScorePost","isMale","isFemale","isOtherGender","isWhite","isBlack","isNativeAmerican","isAsian","isNativeHawaiian","IsHispanic","isOtherRace","raceValue","Age_Integer","English_First_Language","School_Year","STEM_Major","GPA_Float","SAT","ACT","SAT_Scale","Prior_Physics","extraversion","agreeableness","conscientiousness","stability","openness","ISWT_collectivism_mean","Lead_ISWT_self_efficacy_mean","SEP_mean","IMI_PP_interest_enjoyment_mean","IMI_PP_perceived_competance_mean","IMI_PP_effort_importance_mean","IMI_PP_pressure_tension_mean","IMI_PP_value_usefulness_mean","IMI_PP_MW_mean","IMI_MC_interest_enjoyment_mean","IMI_MC_perceived_competance_mean","IMI_MC_effort_importance_mean","IMI_MC_pressure_tension_mean","IMI_MC_value_usefulness_mean","IMI_MC_MW_mean","startDay","duration","pretest","PretestScores_Replaced","follow_up","perceivedRaceAndGender"
"CPS2-ASU-T10-PA","ASU","ASU-T10",6,3,3,7,4,3,5,NA,0,1,0,1,0,0,0,0,0,0,0.44,20,1,4,0,4,NA,NA,1,1,11,9,11,5,11,3.33333333333333,5.77468299871276,5,2.33333333333333,2.33333333333333,2.33333333333333,3,2,3.66666666666667,5,5,2.33333333333333,2.66666666666667,5.33333333333333,3.33333333333333,"2018-06-25",3926,"X",0,0,0
"CPS2-ASU-T10-PB","ASU","ASU-T10",5,3,2,8,4,4,2,NA,1,0,0,1,0,0,0,0,0,0,0.44,42,1,5,0,3,NA,NA,1,0,9,7,14,14,14,2.33333333333333,6.02468299871276,6,3,3.66666666666667,5,2,3.33333333333333,3,2.66666666666667,3.66666666666667,5.33333333333333,2.66666666666667,1,3,"2018-06-25",2856,"X",0,0,0
"CPS2-ASU-T10-PC","ASU","ASU-T10",7,4,3,10,5,5,4,NA,0,1,0,1,0,0,0,0,0,0,0.44,20,1,4,1,4,2040,NA,1,2,12,12,11,5,9,5.33333333333333,5.5,3.66666666666667,5,3,4.66666666666667,5,4,3.33333333333333,3.66666666666667,5,3.33333333333333,3,4,3.33333333333333,"2018-06-23",2802,"X",0,0,0
"CPS2-ASU-T100-PA","ASU","ASU-T100",6,3,3,7,2,5,2,1,1,0,0,0,0,0,1,0,0,0,0.08,18,1,1,0,3.57,NA,21,4,0,12,8,13,14,9,5.66666666666667,6.02468299871276,5.66666666666667,4.66666666666667,3.33333333333333,3.66666666666667,3,5.33333333333333,3.33333333333333,6,4.33333333333333,5,2.66666666666667,3.33333333333333,4.33333333333333,"2019-04-15",2409,"Y",0,0,0
"CPS2-ASU-T100-PC","ASU","ASU-T100",8,3,5,7,2,5,3,1,1,0,0,0,0,0,1,0,0,0,0.08,28,0,2,0,3.8,NA,NA,4,0,9,9,10,11,11,5.33333333333333,5.75,5,5.66666666666667,3.66666666666667,5,2,5.66666666666667,3.33333333333333,4.66666666666667,5,5,2.33333333333333,6,3.66666666666667,"2019-04-13",4123,"Y",0,0,0
"CPS2-ASU-T100-PD","ASU","ASU-T100",7,3,4,7,3,4,5,1,1,0,0,1,0,0,0,0,0,0,0.44,18,1,1,0,3.86,NA,NA,3,1,13,8,12,10,9,4.33333333333333,5.27468299871276,5,4.66666666666667,5,5.33333333333333,2.33333333333333,3.66666666666667,3.66666666666667,4.33333333333333,5.66666666666667,4,2.33333333333333,4,3.66666666666667,"2019-04-15",1555,"Y",0,0,0
"CPS2-ASU-T102-PB","ASU","ASU-T102",5,2,3,8,3,5,5,0,1,0,0,1,0,0,0,0,0,0,0.44,25,1,3,0,3.4,NA,NA,4,0,8,6,13,9,10,5.33333333333333,6,4,3.66666666666667,3,4.33333333333333,4.33333333333333,4.33333333333333,4,6.33333333333333,5.66666666666667,5.66666666666667,2,6,3.33333333333333,"2019-04-17",2567,"Y",0,0,0
"CPS2-ASU-T102-PC","ASU","ASU-T102",8,3,5,10,5,5,5,1,1,0,0,1,0,0,0,0,0,0,0.44,22,1,4,1,3.82,NA,28,1,1,10,5,12,13,8,4,5.52468299871276,5.66666666666667,6.66666666666667,3,4.33333333333333,2,3,3,3.33333333333333,4.33333333333333,3.66666666666667,2.66666666666667,3.33333333333333,3.66666666666667,"2019-04-17",3248,"Y",0,0,0
"CPS2-ASU-T102-PD","ASU","ASU-T102",8,5,3,6,2,4,4,1,0,0,1,1,0,0,0,0,0,0,0.44,19,1,1,0,3.81,NA,27,4,0,7,12,10,6,12,6,2.73607349420743,5.66666666666667,5.33333333333333,1,5.66666666666667,5,4,3,2,7,2.66666666666667,1,5.33333333333333,6.33333333333333,"2019-04-15",3362,"Y",0,0,0
"CPS2-ASU-T103-PB","ASU","ASU-T103",6,2,4,6,1,5,5,0,0,1,0,0,0,0,0,0,1,0,0.39,22,0,3,1,4,NA,NA,3,0,5,11,14,9,11,4.66666666666667,5.29936599742552,4,4.33333333333333,1.66666666666667,6,5.66666666666667,3.33333333333333,3.33333333333333,2,2,3.33333333333333,4,1.33333333333333,4,"2019-04-18",7713,"Y",0,0,0
