userID,school,team,Block,PhysicsScorePost,PhysicsScorePost_EcT,PhysicsScorePost_PoT,MCScorePost,Valence,Arousal,CPS_and_ITN_mean,COMM,NEG,MAINTAIN,Transfer_Task_Score,Prop_Gold_Trophies,Prop_Silver_Trophies,Prop_Unique_Trophies,XQ_know,XQ_p1_familiarity_level,XQ_P2_familiarity_level,startDay,startTime,duration,posttest,manipulation_check
CPS2-ASU-T10-PA,ASU,ASU-T10,Warmup,NA,NA,NA,NA,4,1,-1.03745884047834,NA,NA,NA,NA,0,0.4,0.4,NA,NA,NA,2018-06-27,16:18:28,100,Y,NA
CPS2-ASU-T10-PA,ASU,ASU-T10,ExpBlock1,NA,NA,NA,NA,3,1,-1.03745884047834,0.004767613,-0.645555163,-0.376713977,NA,0.166666666666667,0.166666666666667,0.333333333333333,NA,NA,NA,2018-06-27,16:48:23,52,Y,1
CPS2-ASU-T10-PA,ASU,ASU-T10,ExpBlock2,7,4,3,NA,3,1,-1.03745884047834,0.368371003,-0.297067258,-0.275262163,NA,0.285714285714286,0.142857142857143,0.428571428571429,NA,NA,NA,2018-06-27,17:12:59,741,Y,2
CPS2-ASU-T10-PA,ASU,ASU-T10,Transfer,NA,NA,NA,NA,3,1,-1.03745884047834,-0.401247257,-0.362068505,0.285815878,4,NA,NA,NA,2,1,5,2018-06-27,17:47:2,85,Y,NA
CPS2-ASU-T10-PB,ASU,ASU-T10,Warmup,NA,NA,NA,NA,5,5,0.783249155169658,NA,NA,NA,NA,0,0.4,0.4,NA,NA,NA,2018-06-27,16:19:3,58,Y,NA
CPS2-ASU-T10-PB,ASU,ASU-T10,ExpBlock1,NA,NA,NA,NA,5,5,0.783249155169658,0.175182444,-0.077788301,-0.288816407,NA,0.166666666666667,0.166666666666667,0.333333333333333,NA,NA,NA,2018-06-27,16:48:34,26,Y,1
CPS2-ASU-T10-PB,ASU,ASU-T10,ExpBlock2,8,4,4,NA,5,5,0.783249155169658,-0.057322831,0.072605945,-0.158694584,NA,0.285714285714286,0.142857142857143,0.428571428571429,NA,NA,NA,2018-06-27,17:13:26,554,Y,2
CPS2-ASU-T10-PB,ASU,ASU-T10,Transfer,NA,NA,NA,NA,5,5,0.783249155169658,0.38867728,0.279060853,0.089686062,4,NA,NA,NA,3,NA,NA,2018-06-27,17:47:5,24,Y,NA
CPS2-ASU-T10-PC,ASU,ASU-T10,Warmup,NA,NA,NA,NA,3,3,-0.836074824664605,NA,NA,NA,NA,0,0.4,0.4,NA,NA,NA,2018-06-27,16:19:2,101,Y,NA
CPS2-ASU-T10-PC,ASU,ASU-T10,ExpBlock1,NA,NA,NA,NA,3,3,-0.659881960479916,0.097269293,0.296352852,0.260849928,NA,0.166666666666667,0.166666666666667,0.333333333333333,NA,NA,NA,2018-06-27,16:48:26,45,Y,1
