School,Team,School-Team,Person at A Computer,Person at B Computer,Person at C Computer,Date_Time,Semester,ExpBlock1 Concept,ExpBlock1 Condition,ExpBlock2 Concept,ExpBlock2 Condition,Person Controlling Transfer Task
ASU,T10,ASU-T10,CPS2-ASU-T10-PA,CPS2-ASU-T10-PB,CPS2-ASU-T10-PC,6-27-18 @ 14:30,Summer,PoT,Levels,EcT,Golds,CPS2-ASU-T10-PB
ASU,T20,ASU-T20,CPS2-ASU-T20-PA,CPS2-ASU-T20-PB,CPS2-ASU-T20-PC,7-16-18 @ 14:30,Summer,EcT,Levels,PoT,Golds,CPS2-ASU-T20-PC
ASU,T24,ASU-T24,CPS2-ASU-T24-PA,CPS2-ASU-T24-PB,CPS2-ASU-T24-PC,7-17-18 @ 15:30,Summer,EcT,Levels,PoT,Golds,CPS2-ASU-T24-PA
ASU,T25,ASU-T25,CPS2-ASU-T25-PA,CPS2-ASU-T25-PD,CPS2-ASU-T25-PC,7-17-18 @ 18:00,Summer,PoT,Golds,EcT,Levels,CPS2-ASU-T25-PD
ASU,T32,ASU-T32,CPS2-ASU-T32-PA,CPS2-ASU-T32-PB,CPS2-ASU-T32-PD,8-2-18 @ 13:00,Summer,EcT,Levels,PoT,Golds,NaN
ASU,T34,ASU-T34,CPS2-ASU-T34-PA,CPS2-ASU-T34-PB,CPS2-ASU-T34-PC,9-6-18 @ 15:00,Fall,PoT,Levels,EcT,Golds,CPS2-ASU-T34-PB
ASU,T35,ASU-T35,CPS2-ASU-T35-PA,CPS2-ASU-T35-PD,CPS2-ASU-T35-PC,9-11-18 @ 12:00,Fall,EcT,Golds,PoT,Levels,CPS2-ASU-T35-PC
ASU,T36,ASU-T36,CPS2-ASU-T36-PA,CPS2-ASU-T36-PB,CPS2-ASU-T36-PC,9-11-18 @ 15:00,Fall,EcT,Levels,PoT,Golds,CPS2-ASU-T36-PA
ASU,T37,ASU-T37,CPS2-ASU-T37-PD,CPS2-ASU-T37-PB,CPS2-ASU-T37-PC,9-13-18 @ 12:00,Fall,PoT,Golds,EcT,Levels,CPS2-ASU-T37-PB
ASU,T38,ASU-T38,CPS2-ASU-T38-PA,CPS2-ASU-T38-PB,CPS2-ASU-T38-PC,9-13-18 @ 15:00,Fall,PoT,Levels,EcT,Golds,NaN
ASU,T39,ASU-T39,CPS2-ASU-T39-PD,CPS2-ASU-T39-PB,CPS2-ASU-T39-PC,9-18-18 @ 12:00,Fall,EcT,Golds,PoT,Levels,CPS2-ASU-T39-PD
ASU,T40,ASU-T40,CPS2-ASU-T40-PA,CPS2-ASU-T40-PB,CPS2-ASU-T40-PC,9-18-18 @ 15:00,Fall,EcT,Levels,PoT,Golds,CPS2-ASU-T40-PB
ASU,T41,ASU-T41,CPS2-ASU-T41-PD,CPS2-ASU-T41-PB,CPS2-ASU-T41-PC,9-20-18 @ 12:00,Fall,PoT,Golds,EcT,Levels,CPS2-ASU-T41-PC
ASU,T42,ASU-T42,CPS2-ASU-T42-PD,CPS2-ASU-T42-PB,CPS2-ASU-T42-PC,9-20-18 @ 15:00,Fall,PoT,Levels,EcT,Golds,CPS2-ASU-T42-PD
ASU,T43,ASU-T43,CPS2-ASU-T43-PA,CPS2-ASU-T43-PB,CPS2-ASU-T43-PC,9-25-18 @ 12:00,Fall,EcT,Golds,PoT,Levels,NaN
ASU,T44,ASU-T44,CPS2-ASU-T44-PA,CPS2-ASU-T44-PB,CPS2-ASU-T44-PC,9-25-18 @ 15:00,Fall,EcT,Levels,PoT,Golds,CPS2-ASU-T44-PC
ASU,T45,ASU-T45,CPS2-ASU-T45-PA,CPS2-ASU-T45-PB,CPS2-ASU-T45-PC,9-27-18 @ 12:00,Fall,PoT,Golds,EcT,Levels,CPS2-ASU-T45-PA
ASU,T46,ASU-T46,CPS2-ASU-T46-PD,CPS2-ASU-T46-PB,CPS2-ASU-T46-PC,9-27-18 @ 15:00,Fall,PoT,Levels,EcT,Golds,CPS2-ASU-T46-PB
ASU,T47,ASU-T47,CPS2-ASU-T47-PA,CPS2-ASU-T47-PB,CPS2-ASU-T47-PC,10-2-18 @ 12:00,Fall,EcT,Golds,PoT,Levels,CPS2-ASU-T47-PC
ASU,T50,ASU-T50,CPS2-ASU-T50-PD,CPS2-ASU-T50-PB,CPS2-ASU-T50-PC,10-11-18 @ 15:00,Fall,PoT,Levels,EcT,Golds,CPS2-ASU-T50-PC
